"AX","M","El","Z","E","J","Thalf","DThalf","Thalf_Seconds","Lambda_perSecond"
"77BR",77,"BR",35,105.63,"9/2+","4.28 M",10,256.8,0.00389408099688474
"77BR",77,"BR",35,105.6,"9/2+","4.28 M",10,256.8,0.00389408099688474
"77BR",77,"BR",35,105.8,"9/2+","4.28 M",10,256.8,0.00389408099688474
"77BR",77,"BR",35,105.82,"9/2+","4.28 M",10,256.8,0.00389408099688474
"77BR",77,"BR",35,105.87,"9/2+","4.28 M",10,256.8,0.00389408099688474
"77KR",77,"KR",36,0,"5/2+","71.25 M",42,4275,0.000233918128654971
"77RB",77,"RB",37,0,"3/2-","3.78 M",4,226.8,0.00440917107583774
"77SR",77,"SR",38,0,"5/2+","9.0 S",2,9,0.111111111111111
"77Y",77,"Y",39,0,"5/2+","57 MS",NA,0.057,17.5438596491228
"78NI",78,"NI",28,0,"0+","0.11 S",NA,0.11,9.09090909090909
"78ZN",78,"ZN",30,0,"0+","1.47 S",15,1.47,0.680272108843537
"78GA",78,"GA",31,0,"3+","5.09 S",5,5.09,0.196463654223969
"78GE",78,"GE",32,0,"0+","88.0 M",10,5280,0.000189393939393939
"78AS",78,"AS",33,0,"2-","90.7 M",2,5442,0.000183755972069092
"78BR",78,"BR",35,0,"1+","6.45 M",4,387,0.00258397932816537
"78RB",78,"RB",37,0,"0+","17.66 M",3,1059.6,0.000943752359380898
"78RB",78,"RB",37,111.19,"4-","5.74 M",3,344.4,0.00290360046457607
"78RB",78,"RB",37,111.2,"4-","5.74 M",5,344.4,0.00290360046457607
"78SR",78,"SR",38,0,"0+","160 S",8,160,0.00625
"78Y",78,"Y",39,0,"0+","53 MS",8,0.053,18.8679245283019
"78Y",78,"Y",39,NA,"5+","5.8 S",6,5.8,0.172413793103448
"78Y",78,"Y",39,0,"0+","47 MS",5,0.047,21.2765957446809
"79ZN",79,"ZN",30,0,"9/2+","0.746 S",42,0.746,1.34048257372654
"79ZN",79,"ZN",30,1100,"1/2+","200 MS",NA,0.2,5
"79GA",79,"GA",31,0,"3/2-","2.848 S",3,2.848,0.351123595505618
"79GE",79,"GE",32,0,"1/2-","18.98 S",3,18.98,0.0526870389884089
"79GE",79,"GE",32,185.95,"7/2+","39.0 S",10,39,0.0256410256410256
"79GE",79,"GE",32,186.02,"7/2+","39.0 S",10,39,0.0256410256410256
"79AS",79,"AS",33,0,"3/2-","9.01 M",15,540.6,0.00184979652238254
"79SE",79,"SE",34,0,"7/2+","3.27E+5 Y",28,10319335200000,9.69054673211895e-14
"79SE",79,"SE",34,95.77,"1/2-","3.92 M",1,235.2,0.00425170068027211
"79SE",79,"SE",34,95.5,"1/2-","3.92 M",1,235.2,0.00425170068027211
"79SE",79,"SE",34,95.73,"1/2-","3.92 M",1,235.2,0.00425170068027211
"79SE",79,"SE",34,95.98,"1/2-","3.92 M",1,235.2,0.00425170068027211
"79SE",79,"SE",34,95.78,"1/2-","3.92 M",1,235.2,0.00425170068027211
"79SE",79,"SE",34,96.1,"1/2-","3.92 M",1,235.2,0.00425170068027211
"79BR",79,"BR",35,207.61,"9/2+","4.85 S",4,4.85,0.206185567010309
"79BR",79,"BR",35,207.4,"9/2+","4.85 S",4,4.85,0.206185567010309
"79BR",79,"BR",35,207.56,"9/2+","4.85 S",4,4.85,0.206185567010309
"79BR",79,"BR",35,207.57,"9/2+","4.85 S",4,4.85,0.206185567010309
"79BR",79,"BR",35,207.5,"9/2+","4.85 S",4,4.85,0.206185567010309
